product_id,product_type,product_name,size,colour,price,quantity,description
86,Shirt,Flannel,S,green,118,53,"A green coloured, S sized, Flannel Shirt"
87,Shirt,Flannel,M,green,118,61,"A green coloured, M sized, Flannel Shirt"
88,Shirt,Flannel,L,green,118,65,"A green coloured, L sized, Flannel Shirt"
89,Shirt,Flannel,XL,green,118,66,"A green coloured, XL sized, Flannel Shirt"
90,Shirt,Flannel,XS,blue,118,73,"A blue coloured, XS sized, Flannel Shirt"
91,Shirt,Flannel,S,blue,118,41,"A blue coloured, S sized, Flannel Shirt"
92,Shirt,Flannel,M,blue,118,61,"A blue coloured, M sized, Flannel Shirt"
93,Shirt,Flannel,L,blue,118,61,"A blue coloured, L sized, Flannel Shirt"
94,Shirt,Flannel,XL,blue,118,55,"A blue coloured, XL sized, Flannel Shirt"
95,Shirt,Flannel,XS,indigo,118,48,"A indigo coloured, XS sized, Flannel Shirt"
96,Shirt,Flannel,S,indigo,118,58,"A indigo coloured, S sized, Flannel Shirt"
97,Shirt,Flannel,M,indigo,118,70,"A indigo coloured, M sized, Flannel Shirt"
98,Shirt,Flannel,L,indigo,118,49,"A indigo coloured, L sized, Flannel Shirt"
99,Shirt,Flannel,XL,indigo,118,58,"A indigo coloured, XL sized, Flannel Shirt"
100,Shirt,Flannel,XS,violet,118,55,"A violet coloured, XS sized, Flannel Shirt"
101,Shirt,Flannel,S,violet,118,53,"A violet coloured, S sized, Flannel Shirt"
102,Shirt,Flannel,M,violet,118,62,"A violet coloured, M sized, Flannel Shirt"
103,Shirt,Flannel,L,violet,118,46,"A violet coloured, L sized, Flannel Shirt"
104,Shirt,Flannel,XL,violet,118,58,"A violet coloured, XL sized, Flannel Shirt"
105,Shirt,Denim,XS,red,92,79,"A red coloured, XS sized, Denim Shirt"
106,Shirt,Denim,S,red,92,61,"A red coloured, S sized, Denim Shirt"
107,Shirt,Denim,M,red,92,44,"A red coloured, M sized, Denim Shirt"
108,Shirt,Denim,L,red,92,56,"A red coloured, L sized, Denim Shirt"
109,Shirt,Denim,XL,red,92,53,"A red coloured, XL sized, Denim Shirt"
110,Shirt,Denim,XS,orange,92,55,"A orange coloured, XS sized, Denim Shirt"
111,Shirt,Denim,S,orange,92,71,"A orange coloured, S sized, Denim Shirt"
112,Shirt,Denim,M,orange,92,78,"A orange coloured, M sized, Denim Shirt"
113,Shirt,Denim,L,orange,92,55,"A orange coloured, L sized, Denim Shirt"
114,Shirt,Denim,XL,orange,92,51,"A orange coloured, XL sized, Denim Shirt"
115,Shirt,Denim,XS,yellow,92,59,"A yellow coloured, XS sized, Denim Shirt"
116,Shirt,Denim,S,yellow,92,52,"A yellow coloured, S sized, Denim Shirt"
117,Shirt,Denim,M,yellow,92,70,"A yellow coloured, M sized, Denim Shirt"
118,Shirt,Denim,L,yellow,92,52,"A yellow coloured, L sized, Denim Shirt"
119,Shirt,Denim,XL,yellow,92,46,"A yellow coloured, XL sized, Denim Shirt"
120,Shirt,Denim,XS,green,92,75,"A green coloured, XS sized, Denim Shirt"
121,Shirt,Denim,S,green,92,45,"A green coloured, S sized, Denim Shirt"
122,Shirt,Denim,M,green,92,59,"A green coloured, M sized, Denim Shirt"
123,Shirt,Denim,L,green,92,54,"A green coloured, L sized, Denim Shirt"
124,Shirt,Denim,XL,green,92,52,"A green coloured, XL sized, Denim Shirt"
125,Shirt,Denim,XS,blue,92,45,"A blue coloured, XS sized, Denim Shirt"
126,Shirt,Denim,S,blue,92,48,"A blue coloured, S sized, Denim Shirt"
127,Shirt,Denim,M,blue,92,54,"A blue coloured, M sized, Denim Shirt"
128,Shirt,Denim,L,blue,92,74,"A blue coloured, L sized, Denim Shirt"
129,Shirt,Denim,XL,blue,92,60,"A blue coloured, XL sized, Denim Shirt"
130,Shirt,Denim,XS,indigo,92,43,"A indigo coloured, XS sized, Denim Shirt"
131,Shirt,Denim,S,indigo,92,60,"A indigo coloured, S sized, Denim Shirt"
132,Shirt,Denim,M,indigo,92,55,"A indigo coloured, M sized, Denim Shirt"
133,Shirt,Denim,L,indigo,92,71,"A indigo coloured, L sized, Denim Shirt"
134,Shirt,Denim,XL,indigo,92,78,"A indigo coloured, XL sized, Denim Shirt"
135,Shirt,Denim,XS,violet,92,64,"A violet coloured, XS sized, Denim Shirt"
136,Shirt,Denim,S,violet,92,50,"A violet coloured, S sized, Denim Shirt"
137,Shirt,Denim,M,violet,92,40,"A violet coloured, M sized, Denim Shirt"
138,Shirt,Denim,L,violet,92,48,"A violet coloured, L sized, Denim Shirt"
139,Shirt,Denim,XL,violet,92,47,"A violet coloured, XL sized, Denim Shirt"
140,Shirt,Linen,XS,red,91,68,"A red coloured, XS sized, Linen Shirt"
141,Shirt,Linen,S,red,91,50,"A red coloured, S sized, Linen Shirt"
142,Shirt,Linen,M,red,91,80,"A red coloured, M sized, Linen Shirt"
143,Shirt,Linen,L,red,91,43,"A red coloured, L sized, Linen Shirt"
144,Shirt,Linen,XL,red,91,48,"A red coloured, XL sized, Linen Shirt"
145,Shirt,Linen,XS,orange,91,50,"A orange coloured, XS sized, Linen Shirt"
146,Shirt,Linen,S,orange,91,62,"A orange coloured, S sized, Linen Shirt"
147,Shirt,Linen,M,orange,91,71,"A orange coloured, M sized, Linen Shirt"
148,Shirt,Linen,L,orange,91,52,"A orange coloured, L sized, Linen Shirt"
149,Shirt,Linen,XL,orange,91,47,"A orange coloured, XL sized, Linen Shirt"
150,Shirt,Linen,XS,yellow,91,53,"A yellow coloured, XS sized, Linen Shirt"
151,Shirt,Linen,S,yellow,91,74,"A yellow coloured, S sized, Linen Shirt"
152,Shirt,Linen,M,yellow,91,40,"A yellow coloured, M sized, Linen Shirt"
153,Shirt,Linen,L,yellow,91,73,"A yellow coloured, L sized, Linen Shirt"
154,Shirt,Linen,XL,yellow,91,77,"A yellow coloured, XL sized, Linen Shirt"
155,Shirt,Linen,XS,green,91,66,"A green coloured, XS sized, Linen Shirt"
156,Shirt,Linen,S,green,91,47,"A green coloured, S sized, Linen Shirt"
157,Shirt,Linen,M,green,91,53,"A green coloured, M sized, Linen Shirt"
158,Shirt,Linen,L,green,91,62,"A green coloured, L sized, Linen Shirt"
159,Shirt,Linen,XL,green,91,73,"A green coloured, XL sized, Linen Shirt"
160,Shirt,Linen,XS,blue,91,58,"A blue coloured, XS sized, Linen Shirt"
161,Shirt,Linen,S,blue,91,64,"A blue coloured, S sized, Linen Shirt"
162,Shirt,Linen,M,blue,91,71,"A blue coloured, M sized, Linen Shirt"
163,Shirt,Linen,L,blue,91,57,"A blue coloured, L sized, Linen Shirt"
164,Shirt,Linen,XL,blue,91,56,"A blue coloured, XL sized, Linen Shirt"
165,Shirt,Linen,XS,indigo,91,58,"A indigo coloured, XS sized, Linen Shirt"
166,Shirt,Linen,S,indigo,91,70,"A indigo coloured, S sized, Linen Shirt"
167,Shirt,Linen,M,indigo,91,73,"A indigo coloured, M sized, Linen Shirt"
168,Shirt,Linen,L,indigo,91,53,"A indigo coloured, L sized, Linen Shirt"
169,Shirt,Linen,XL,indigo,91,79,"A indigo coloured, XL sized, Linen Shirt"
170,Shirt,Linen,XS,violet,91,54,"A violet coloured, XS sized, Linen Shirt"
171,Shirt,Linen,S,violet,91,48,"A violet coloured, S sized, Linen Shirt"
172,Shirt,Linen,M,violet,91,68,"A violet coloured, M sized, Linen Shirt"
173,Shirt,Linen,L,violet,91,54,"A violet coloured, L sized, Linen Shirt"
174,Shirt,Linen,XL,violet,91,46,"A violet coloured, XL sized, Linen Shirt"
175,Shirt,Camp Collared,XS,red,98,67,"A red coloured, XS sized, Camp Collared Shirt"
176,Shirt,Camp Collared,S,red,98,68,"A red coloured, S sized, Camp Collared Shirt"
177,Shirt,Camp Collared,M,red,98,48,"A red coloured, M sized, Camp Collared Shirt"
178,Shirt,Camp Collared,L,red,98,66,"A red coloured, L sized, Camp Collared Shirt"
179,Shirt,Camp Collared,XL,red,98,64,"A red coloured, XL sized, Camp Collared Shirt"
180,Shirt,Camp Collared,XS,orange,98,44,"A orange coloured, XS sized, Camp Collared Shirt"
181,Shirt,Camp Collared,S,orange,98,52,"A orange coloured, S sized, Camp Collared Shirt"
182,Shirt,Camp Collared,M,orange,98,77,"A orange coloured, M sized, Camp Collared Shirt"
183,Shirt,Camp Collared,L,orange,98,61,"A orange coloured, L sized, Camp Collared Shirt"
184,Shirt,Camp Collared,XL,orange,98,51,"A orange coloured, XL sized, Camp Collared Shirt"
185,Shirt,Camp Collared,XS,yellow,98,72,"A yellow coloured, XS sized, Camp Collared Shirt"
186,Shirt,Camp Collared,S,yellow,98,63,"A yellow coloured, S sized, Camp Collared Shirt"
187,Shirt,Camp Collared,M,yellow,98,48,"A yellow coloured, M sized, Camp Collared Shirt"
188,Shirt,Camp Collared,L,yellow,98,65,"A yellow coloured, L sized, Camp Collared Shirt"
189,Shirt,Camp Collared,XL,yellow,98,65,"A yellow coloured, XL sized, Camp Collared Shirt"
190,Shirt,Camp Collared,XS,green,98,45,"A green coloured, XS sized, Camp Collared Shirt"
191,Shirt,Camp Collared,S,green,98,79,"A green coloured, S sized, Camp Collared Shirt"
192,Shirt,Camp Collared,M,green,98,51,"A green coloured, M sized, Camp Collared Shirt"
193,Shirt,Camp Collared,L,green,98,67,"A green coloured, L sized, Camp Collared Shirt"
194,Shirt,Camp Collared,XL,green,98,55,"A green coloured, XL sized, Camp Collared Shirt"
195,Shirt,Camp Collared,XS,blue,98,74,"A blue coloured, XS sized, Camp Collared Shirt"
196,Shirt,Camp Collared,S,blue,98,65,"A blue coloured, S sized, Camp Collared Shirt"
197,Shirt,Camp Collared,M,blue,98,56,"A blue coloured, M sized, Camp Collared Shirt"
198,Shirt,Camp Collared,L,blue,98,53,"A blue coloured, L sized, Camp Collared Shirt"
199,Shirt,Camp Collared,XL,blue,98,62,"A blue coloured, XL sized, Camp Collared Shirt"
200,Shirt,Camp Collared,XS,indigo,98,65,"A indigo coloured, XS sized, Camp Collared Shirt"
201,Shirt,Camp Collared,S,indigo,98,44,"A indigo coloured, S sized, Camp Collared Shirt"
202,Shirt,Camp Collared,M,indigo,98,78,"A indigo coloured, M sized, Camp Collared Shirt"
203,Shirt,Camp Collared,L,indigo,98,65,"A indigo coloured, L sized, Camp Collared Shirt"
204,Shirt,Camp Collared,XL,indigo,98,62,"A indigo coloured, XL sized, Camp Collared Shirt"
205,Shirt,Camp Collared,XS,violet,98,63,"A violet coloured, XS sized, Camp Collared Shirt"
206,Shirt,Camp Collared,S,violet,98,65,"A violet coloured, S sized, Camp Collared Shirt"
207,Shirt,Camp Collared,M,violet,98,80,"A violet coloured, M sized, Camp Collared Shirt"
208,Shirt,Camp Collared,L,violet,98,50,"A violet coloured, L sized, Camp Collared Shirt"
209,Shirt,Camp Collared,XL,violet,98,66,"A violet coloured, XL sized, Camp Collared Shirt"
210,Shirt,Chambray,XS,red,106,70,"A red coloured, XS sized, Chambray Shirt"
211,Shirt,Chambray,S,red,106,50,"A red coloured, S sized, Chambray Shirt"
212,Shirt,Chambray,M,red,106,80,"A red coloured, M sized, Chambray Shirt"
213,Shirt,Chambray,L,red,106,63,"A red coloured, L sized, Chambray Shirt"
214,Shirt,Chambray,XL,red,106,76,"A red coloured, XL sized, Chambray Shirt"
215,Shirt,Chambray,XS,orange,106,62,"A orange coloured, XS sized, Chambray Shirt"
216,Shirt,Chambray,S,orange,106,49,"A orange coloured, S sized, Chambray Shirt"
217,Shirt,Chambray,M,orange,106,69,"A orange coloured, M sized, Chambray Shirt"
218,Shirt,Chambray,L,orange,106,61,"A orange coloured, L sized, Chambray Shirt"
219,Shirt,Chambray,XL,orange,106,69,"A orange coloured, XL sized, Chambray Shirt"
220,Shirt,Chambray,XS,yellow,106,61,"A yellow coloured, XS sized, Chambray Shirt"
221,Shirt,Chambray,S,yellow,106,76,"A yellow coloured, S sized, Chambray Shirt"
222,Shirt,Chambray,M,yellow,106,59,"A yellow coloured, M sized, Chambray Shirt"
223,Shirt,Chambray,L,yellow,106,79,"A yellow coloured, L sized, Chambray Shirt"
224,Shirt,Chambray,XL,yellow,106,43,"A yellow coloured, XL sized, Chambray Shirt"
225,Shirt,Chambray,XS,green,106,69,"A green coloured, XS sized, Chambray Shirt"
226,Shirt,Chambray,S,green,106,59,"A green coloured, S sized, Chambray Shirt"
227,Shirt,Chambray,M,green,106,41,"A green coloured, M sized, Chambray Shirt"
228,Shirt,Chambray,L,green,106,59,"A green coloured, L sized, Chambray Shirt"
229,Shirt,Chambray,XL,green,106,46,"A green coloured, XL sized, Chambray Shirt"
230,Shirt,Chambray,XS,blue,106,56,"A blue coloured, XS sized, Chambray Shirt"
231,Shirt,Chambray,S,blue,106,80,"A blue coloured, S sized, Chambray Shirt"
232,Shirt,Chambray,M,blue,106,41,"A blue coloured, M sized, Chambray Shirt"
233,Shirt,Chambray,L,blue,106,71,"A blue coloured, L sized, Chambray Shirt"
234,Shirt,Chambray,XL,blue,106,51,"A blue coloured, XL sized, Chambray Shirt"
235,Shirt,Chambray,XS,indigo,106,59,"A indigo coloured, XS sized, Chambray Shirt"
236,Shirt,Chambray,S,indigo,106,49,"A indigo coloured, S sized, Chambray Shirt"
237,Shirt,Chambray,M,indigo,106,78,"A indigo coloured, M sized, Chambray Shirt"
238,Shirt,Chambray,L,indigo,106,65,"A indigo coloured, L sized, Chambray Shirt"
239,Shirt,Chambray,XL,indigo,106,42,"A indigo coloured, XL sized, Chambray Shirt"
240,Shirt,Chambray,XS,violet,106,48,"A violet coloured, XS sized, Chambray Shirt"
241,Shirt,Chambray,S,violet,106,41,"A violet coloured, S sized, Chambray Shirt"
242,Shirt,Chambray,M,violet,106,60,"A violet coloured, M sized, Chambray Shirt"
243,Shirt,Chambray,L,violet,106,62,"A violet coloured, L sized, Chambray Shirt"
244,Shirt,Chambray,XL,violet,106,76,"A violet coloured, XL sized, Chambray Shirt"
245,Shirt,Polo,XS,red,95,63,"A red coloured, XS sized, Polo Shirt"
246,Shirt,Polo,S,red,95,54,"A red coloured, S sized, Polo Shirt"
247,Shirt,Polo,M,red,95,54,"A red coloured, M sized, Polo Shirt"
248,Shirt,Polo,L,red,95,59,"A red coloured, L sized, Polo Shirt"
249,Shirt,Polo,XL,red,95,67,"A red coloured, XL sized, Polo Shirt"
250,Shirt,Polo,XS,orange,95,41,"A orange coloured, XS sized, Polo Shirt"
251,Shirt,Polo,S,orange,95,74,"A orange coloured, S sized, Polo Shirt"
252,Shirt,Polo,M,orange,95,41,"A orange coloured, M sized, Polo Shirt"
253,Shirt,Polo,L,orange,95,77,"A orange coloured, L sized, Polo Shirt"
254,Shirt,Polo,XL,orange,95,51,"A orange coloured, XL sized, Polo Shirt"
255,Shirt,Polo,XS,yellow,95,50,"A yellow coloured, XS sized, Polo Shirt"
256,Shirt,Polo,S,yellow,95,76,"A yellow coloured, S sized, Polo Shirt"
257,Shirt,Polo,M,yellow,95,64,"A yellow coloured, M sized, Polo Shirt"
258,Shirt,Polo,L,yellow,95,67,"A yellow coloured, L sized, Polo Shirt"
259,Shirt,Polo,XL,yellow,95,77,"A yellow coloured, XL sized, Polo Shirt"
260,Shirt,Polo,XS,green,95,53,"A green coloured, XS sized, Polo Shirt"
261,Shirt,Polo,S,green,95,51,"A green coloured, S sized, Polo Shirt"
262,Shirt,Polo,M,green,95,43,"A green coloured, M sized, Polo Shirt"
263,Shirt,Polo,L,green,95,78,"A green coloured, L sized, Polo Shirt"
264,Shirt,Polo,XL,green,95,53,"A green coloured, XL sized, Polo Shirt"
265,Shirt,Polo,XS,blue,95,65,"A blue coloured, XS sized, Polo Shirt"
266,Shirt,Polo,S,blue,95,53,"A blue coloured, S sized, Polo Shirt"
267,Shirt,Polo,M,blue,95,71,"A blue coloured, M sized, Polo Shirt"
268,Shirt,Polo,L,blue,95,51,"A blue coloured, L sized, Polo Shirt"
269,Shirt,Polo,XL,blue,95,72,"A blue coloured, XL sized, Polo Shirt"
270,Shirt,Polo,XS,indigo,95,77,"A indigo coloured, XS sized, Polo Shirt"
271,Shirt,Polo,S,indigo,95,56,"A indigo coloured, S sized, Polo Shirt"
272,Shirt,Polo,M,indigo,95,43,"A indigo coloured, M sized, Polo Shirt"
273,Shirt,Polo,L,indigo,95,67,"A indigo coloured, L sized, Polo Shirt"
274,Shirt,Polo,XL,indigo,95,76,"A indigo coloured, XL sized, Polo Shirt"
275,Shirt,Polo,XS,violet,95,44,"A violet coloured, XS sized, Polo Shirt"
276,Shirt,Polo,S,violet,95,63,"A violet coloured, S sized, Polo Shirt"
277,Shirt,Polo,M,violet,95,76,"A violet coloured, M sized, Polo Shirt"
278,Shirt,Polo,L,violet,95,63,"A violet coloured, L sized, Polo Shirt"
279,Shirt,Polo,XL,violet,95,70,"A violet coloured, XL sized, Polo Shirt"
280,Shirt,Cuban Collar,XS,red,105,78,"A red coloured, XS sized, Cuban Collar Shirt"
281,Shirt,Cuban Collar,S,red,105,47,"A red coloured, S sized, Cuban Collar Shirt"
282,Shirt,Cuban Collar,M,red,105,74,"A red coloured, M sized, Cuban Collar Shirt"
283,Shirt,Cuban Collar,L,red,105,67,"A red coloured, L sized, Cuban Collar Shirt"
284,Shirt,Cuban Collar,XL,red,105,72,"A red coloured, XL sized, Cuban Collar Shirt"
285,Shirt,Cuban Collar,XS,orange,105,71,"A orange coloured, XS sized, Cuban Collar Shirt"
286,Shirt,Cuban Collar,S,orange,105,56,"A orange coloured, S sized, Cuban Collar Shirt"
287,Shirt,Cuban Collar,M,orange,105,77,"A orange coloured, M sized, Cuban Collar Shirt"
288,Shirt,Cuban Collar,L,orange,105,46,"A orange coloured, L sized, Cuban Collar Shirt"
289,Shirt,Cuban Collar,XL,orange,105,66,"A orange coloured, XL sized, Cuban Collar Shirt"
290,Shirt,Cuban Collar,XS,yellow,105,75,"A yellow coloured, XS sized, Cuban Collar Shirt"
291,Shirt,Cuban Collar,S,yellow,105,67,"A yellow coloured, S sized, Cuban Collar Shirt"
292,Shirt,Cuban Collar,M,yellow,105,55,"A yellow coloured, M sized, Cuban Collar Shirt"
293,Shirt,Cuban Collar,L,yellow,105,73,"A yellow coloured, L sized, Cuban Collar Shirt"
294,Shirt,Cuban Collar,XL,yellow,105,66,"A yellow coloured, XL sized, Cuban Collar Shirt"
295,Shirt,Cuban Collar,XS,green,105,62,"A green coloured, XS sized, Cuban Collar Shirt"
296,Shirt,Cuban Collar,S,green,105,78,"A green coloured, S sized, Cuban Collar Shirt"
297,Shirt,Cuban Collar,M,green,105,50,"A green coloured, M sized, Cuban Collar Shirt"
298,Shirt,Cuban Collar,L,green,105,57,"A green coloured, L sized, Cuban Collar Shirt"
299,Shirt,Cuban Collar,XL,green,105,50,"A green coloured, XL sized, Cuban Collar Shirt"
300,Shirt,Cuban Collar,XS,blue,105,41,"A blue coloured, XS sized, Cuban Collar Shirt"
301,Shirt,Cuban Collar,S,blue,105,74,"A blue coloured, S sized, Cuban Collar Shirt"
302,Shirt,Cuban Collar,M,blue,105,70,"A blue coloured, M sized, Cuban Collar Shirt"
303,Shirt,Cuban Collar,L,blue,105,74,"A blue coloured, L sized, Cuban Collar Shirt"
304,Shirt,Cuban Collar,XL,blue,105,41,"A blue coloured, XL sized, Cuban Collar Shirt"
305,Shirt,Cuban Collar,XS,indigo,105,52,"A indigo coloured, XS sized, Cuban Collar Shirt"
306,Shirt,Cuban Collar,S,indigo,105,47,"A indigo coloured, S sized, Cuban Collar Shirt"
307,Shirt,Cuban Collar,M,indigo,105,75,"A indigo coloured, M sized, Cuban Collar Shirt"
308,Shirt,Cuban Collar,L,indigo,105,43,"A indigo coloured, L sized, Cuban Collar Shirt"
309,Shirt,Cuban Collar,XL,indigo,105,40,"A indigo coloured, XL sized, Cuban Collar Shirt"
310,Shirt,Cuban Collar,XS,violet,105,41,"A violet coloured, XS sized, Cuban Collar Shirt"
